Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,MedianPreis_Baualter,Durchschnitt_Baujahr,Preis_Verhältnis,Quartier_Preisniveau,Quartier_Code
2024,Kreis 3,4-Zimmer,1860000.0,17424.0,4,1976250.0,0.0,0.9411764705882353,1.1038495373333337,22
2024,Kreis 3,5-Zimmer,2800000.0,20144.0,5,2454583.3333333335,0.0,1.1407231369886266,1.1038495373333337,22
2024,Kreis 3,6-Zimmer und mehr,2950000.0,19156.0,6,3038774.0,0.0,0.9707862447157966,1.1038495373333337,22
2024,Alt-Wiedikon,1-Zimmer,295000.0,8000.0,1,810500.0,0.0,0.36397285626156695,1.1261604647458314,2
2024,Alt-Wiedikon,2-Zimmer,1250000.0,21667.0,2,1132250.0,0.0,1.103996467211305,1.1261604647458314,2
2024,Alt-Wiedikon,3-Zimmer,1867500.0,17841.0,3,1606355.0,0.0,1.1625699176084987,1.1261604647458314,2
2024,Alt-Wiedikon,4-Zimmer,1925000.0,17180.0,4,1976250.0,0.0,0.9740670461733081,1.1261604647458314,2
2024,Alt-Wiedikon,5-Zimmer,2800000.0,20144.0,5,2454583.3333333335,0.0,1.1407231369886266,1.1261604647458314,2
2024,Alt-Wiedikon,6-Zimmer und mehr,2950000.0,19156.0,6,3038774.0,0.0,0.9707862447157966,1.1261604647458314,2
2024,Friesenberg,1-Zimmer,375000.0,12660.0,1,810500.0,0.0,0.4626773596545342,0.4494484831116396,8
2024,Friesenberg,2-Zimmer,570000.0,10364.0,2,1132250.0,0.0,0.503422389048355,0.4494484831116396,8
2024,Friesenberg,3-Zimmer,790000.0,10395.0,3,1606355.0,0.0,0.49179664519984684,0.4494484831116396,8
2024,Friesenberg,4-Zimmer,1640000.0,16400.0,4,1976250.0,0.0,0.8298545224541429,0.4494484831116396,8
2024,Friesenberg,5-Zimmer,1050000.0,8015.0,5,2454583.3333333335,0.0,0.427771176370735,0.4494484831116396,8
2024,Friesenberg,6-Zimmer und mehr,0.0,0.0,6,3038774.0,0.0,0.0,0.4494484831116396,8
2024,Sihlfeld,1-Zimmer,352780.0,10272.0,1,810500.0,0.0,0.43526218383713755,0.944378105605817,40
2024,Sihlfeld,2-Zimmer,675000.0,11607.0,2,1132250.0,0.0,0.5961580922941047,0.944378105605817,40
2024,Sihlfeld,3-Zimmer,1500000.0,20093.0,3,1606355.0,0.0,0.9337910984807218,0.944378105605817,40
2024,Sihlfeld,4-Zimmer,1930000.0,19109.0,4,1976250.0,0.0,0.9765970904490828,0.944378105605817,40
2024,Sihlfeld,5-Zimmer,1850000.0,10882.0,5,2454583.3333333335,0.0,0.7536920726531997,0.944378105605817,40
2024,Sihlfeld,6-Zimmer und mehr,2990000.0,12723.0,6,3038774.0,0.0,0.9839494480339769,0.944378105605817,40
