Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num
2009,Albisrieden,2-Zimmer,460000.0,7937.0,2
2009,Albisrieden,3-Zimmer,725000.0,9667.0,3
2009,Albisrieden,4-Zimmer,785000.0,8010.0,4
2009,Albisrieden,5-Zimmer,607500.0,5876.0,5
2009,Albisrieden,6-Zimmer und mehr,1515000.0,8868.0,6
2009,Altstetten,1-Zimmer,367360.0,7347.0,1
2009,Altstetten,2-Zimmer,735000.0,11818.0,2
2009,Altstetten,3-Zimmer,555000.0,6174.0,3
2009,Altstetten,4-Zimmer,415000.0,4109.0,4
2009,Altstetten,5-Zimmer,1690000.0,10330.0,5
2009,Altstetten,6-Zimmer und mehr,1593750.0,10105.0,6
2009,Kreis 10,1-Zimmer,300000.0,7692.0,1
2009,Kreis 10,2-Zimmer,549500.0,7500.0,2
2009,Kreis 10,3-Zimmer,647000.0,7159.0,3
2009,Kreis 10,4-Zimmer,900000.0,7925.0,4
2009,Kreis 10,5-Zimmer,1457000.0,9461.0,5
2009,Kreis 10,6-Zimmer und mehr,1640000.0,9231.0,6
2009,Höngg,1-Zimmer,300000.0,7692.0,1
2009,Höngg,2-Zimmer,594000.0,7500.0,2
2009,Höngg,3-Zimmer,647000.0,7159.0,3
2009,Höngg,4-Zimmer,895000.0,7714.0,4
2009,Höngg,5-Zimmer,1510000.0,9805.0,5
2009,Höngg,6-Zimmer und mehr,1675000.0,9183.0,6
2009,Wipkingen,1-Zimmer,312500.0,6976.0,1
2009,Wipkingen,2-Zimmer,440000.0,7857.0,2
2009,Wipkingen,3-Zimmer,644570.0,7068.0,3
2009,Wipkingen,4-Zimmer,982500.0,8036.0,4
2009,Wipkingen,5-Zimmer,790000.0,6031.0,5
2009,Wipkingen,6-Zimmer und mehr,1200000.0,9231.0,6
2009,Kreis 11,1-Zimmer,264100.0,7685.0,1
2009,Kreis 11,2-Zimmer,330000.0,5893.0,2
2009,Kreis 11,3-Zimmer,565000.0,5570.0,3
2009,Kreis 11,4-Zimmer,715000.0,5778.0,4
2009,Kreis 11,5-Zimmer,860450.0,6395.0,5
2009,Kreis 11,6-Zimmer und mehr,770000.0,3345.0,6
2009,Affoltern,1-Zimmer,319100.0,6255.0,1
2009,Affoltern,2-Zimmer,301000.0,5686.0,2
2009,Affoltern,3-Zimmer,645000.0,5854.0,3
2009,Affoltern,4-Zimmer,749000.0,5833.0,4
2009,Affoltern,5-Zimmer,863480.0,6398.0,5
2009,Affoltern,6-Zimmer und mehr,775000.0,2768.0,6
2009,Oerlikon,1-Zimmer,256500.0,8845.0,1
2009,Oerlikon,2-Zimmer,400000.0,6148.0,2
2009,Oerlikon,3-Zimmer,500000.0,6330.0,3
2009,Oerlikon,4-Zimmer,710000.0,7328.0,4
2009,Oerlikon,5-Zimmer,652500.0,5429.0,5
2009,Oerlikon,6-Zimmer und mehr,1759000.0,11162.5,6
2009,Seebach,1-Zimmer,400000.0,9071.5,1
2009,Seebach,2-Zimmer,327500.0,6292.0,2
2009,Seebach,3-Zimmer,552500.0,5438.0,3
2009,Seebach,4-Zimmer,622500.0,5544.0,4
2009,Seebach,5-Zimmer,1370000.0,7829.0,5
2009,Seebach,6-Zimmer und mehr,655000.0,3922.0,6
2009,Kreis 12,1-Zimmer,512900.0,10436.0,1
2009,Kreis 12,2-Zimmer,700000.0,9500.0,2
2009,Kreis 12,3-Zimmer,260000.0,3421.0,3
2009,Kreis 12,4-Zimmer,677500.0,6079.0,4
2009,Kreis 12,5-Zimmer,1388500.0,9630.0,5
2009,Kreis 12,6-Zimmer und mehr,1937310.0,11008.5,6
2009,Saatlen,1-Zimmer,365000.0,10909.0,1
2009,Saatlen,2-Zimmer,780000.0,10833.0,2
2009,Saatlen,3-Zimmer,423000.0,4976.0,3
2009,Saatlen,4-Zimmer,1100000.0,9958.0,4
2009,Saatlen,5-Zimmer,1310000.0,9704.0,5
2009,Saatlen,6-Zimmer und mehr,0.0,0.0,6
2009,Schwamendingen-Mitte,1-Zimmer,512900.0,10098.0,1
2009,Schwamendingen-Mitte,2-Zimmer,680000.0,8125.0,2
2009,Schwamendingen-Mitte,3-Zimmer,131890.0,1735.0,3
2009,Schwamendingen-Mitte,4-Zimmer,808170.0,8082.0,4
2009,Schwamendingen-Mitte,5-Zimmer,1450000.0,9639.5,5
2009,Schwamendingen-Mitte,6-Zimmer und mehr,2331000.0,13712.0,6
2009,Hirzenbach,1-Zimmer,0.0,0.0,1
2009,Hirzenbach,2-Zimmer,0.0,0.0,2
2009,Hirzenbach,3-Zimmer,320000.0,4923.0,3
2009,Hirzenbach,4-Zimmer,650000.0,6026.0,4
2009,Hirzenbach,5-Zimmer,851250.0,6670.5,5
2009,Hirzenbach,6-Zimmer und mehr,1834615.0,10046.5,6
2010,Ganze Stadt,1-Zimmer,307500.0,9310.0,1
2010,Ganze Stadt,2-Zimmer,522500.0,7590.0,2
2010,Ganze Stadt,3-Zimmer,800000.0,8026.0,3
2010,Ganze Stadt,4-Zimmer,940000.0,7493.0,4
2010,Ganze Stadt,5-Zimmer,1194500.0,8540.0,5
2010,Ganze Stadt,6-Zimmer und mehr,1660000.0,8056.0,6
2010,Kreis 1,1-Zimmer,455000.0,11904.0,1
2010,Kreis 1,2-Zimmer,595000.0,10625.0,2
2010,Kreis 1,3-Zimmer,1470000.0,14176.0,3
2010,Kreis 1,4-Zimmer,1700000.0,14474.0,4
2010,Kreis 1,5-Zimmer,1342500.0,10069.5,5
2010,Kreis 1,6-Zimmer und mehr,1675000.0,8957.0,6
2010,Rathaus,1-Zimmer,485000.0,16724.0,1
2010,Rathaus,2-Zimmer,959810.0,15563.5,2
2010,Rathaus,3-Zimmer,1470000.0,15313.0,3
2010,Rathaus,4-Zimmer,1650000.0,13993.0,4
2010,Rathaus,5-Zimmer,1660000.0,10722.0,5
2010,Rathaus,6-Zimmer und mehr,1675000.0,8957.0,6
2010,Hochschulen,1-Zimmer,0.0,0.0,1
2010,Hochschulen,2-Zimmer,1200000.0,19672.0,2
2010,Hochschulen,3-Zimmer,0.0,0.0,3
2010,Hochschulen,4-Zimmer,0.0,0.0,4
2010,Hochschulen,5-Zimmer,1200000.0,8889.0,5
2010,Hochschulen,6-Zimmer und mehr,0.0,0.0,6
