Quartier,Zielort,Transportmittel,Reisezeit_Minuten
Seebach,Bahnhofstrasse,transit,38.8
Seebach,Bahnhofstrasse,driving,17.5
Kreis 12,Hauptbahnhof,transit,30.8
Kreis 12,Hauptbahnhof,driving,10.4
Kreis 12,ETH,transit,28.1
Kreis 12,ETH,driving,12.6
Kreis 12,Flughafen,transit,36.3
Kreis 12,Flughafen,driving,10.1
Kreis 12,Bahnhofstrasse,transit,33.4
Kreis 12,Bahnhofstrasse,driving,16.0
Saatlen,Hauptbahnhof,transit,27.9
Saatlen,Hauptbahnhof,driving,12.0
Saatlen,ETH,transit,24.4
Saatlen,ETH,driving,14.2
Saatlen,Flughafen,transit,26.2
Saatlen,Flughafen,driving,8.8
Saatlen,Bahnhofstrasse,transit,30.4
Saatlen,Bahnhofstrasse,driving,17.6
Schwamendingen-Mitte,Hauptbahnhof,transit,23.3
Schwamendingen-Mitte,Hauptbahnhof,driving,11.4
Schwamendingen-Mitte,ETH,transit,20.6
Schwamendingen-Mitte,ETH,driving,14.7
Schwamendingen-Mitte,Flughafen,transit,27.1
Schwamendingen-Mitte,Flughafen,driving,3.9
Schwamendingen-Mitte,Bahnhofstrasse,transit,25.7
Schwamendingen-Mitte,Bahnhofstrasse,driving,17.0
Hirzenbach,Hauptbahnhof,transit,27.5
Hirzenbach,Hauptbahnhof,driving,11.8
Hirzenbach,ETH,transit,24.1
Hirzenbach,ETH,driving,14.0
Hirzenbach,Flughafen,transit,31.1
Hirzenbach,Flughafen,driving,10.4
Hirzenbach,Bahnhofstrasse,transit,30.1
Hirzenbach,Bahnhofstrasse,driving,17.4
