Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2012,Altbauten (nicht umgebaut),6-Zimmer und mehr,1340000,9113,6,
2012,Total,6-Zimmer und mehr,2715000,13090,6,
2013,Neubauten (0–1 Jahre),1-Zimmer,590000,7375,1,
2013,Altbauten (nicht umgebaut),1-Zimmer,310860,10690,1,
2013,Total,1-Zimmer,315430,10517,1,
2013,Neubauten (0–1 Jahre),2-Zimmer,900000,8679,2,
2013,2–9 Jahre,2-Zimmer,790000,11818,2,
2013,10–19 Jahre,2-Zimmer,680000,11333,2,
2013,Altbauten (umgebaut),2-Zimmer,447500,7890,2,
2013,Altbauten (nicht umgebaut),2-Zimmer,515000,7946,2,
2013,Total,2-Zimmer,800000,8783,2,
2013,Neubauten (0–1 Jahre),3-Zimmer,1020000,9044,3,
2013,2–9 Jahre,3-Zimmer,1070000,11368,3,
2013,10–19 Jahre,3-Zimmer,1207500,13722,3,
2013,Altbauten (umgebaut),3-Zimmer,980000,11974,3,
2013,Altbauten (nicht umgebaut),3-Zimmer,705000,8442,3,
2013,Total,3-Zimmer,940000,9133,3,
2013,Neubauten (0–1 Jahre),4-Zimmer,1289000,9549,4,
2013,2–9 Jahre,4-Zimmer,1250000,10192,4,
2013,10–19 Jahre,4-Zimmer,1695000,13471,4,
2013,Altbauten (umgebaut),4-Zimmer,1225000,13611,4,
2013,Altbauten (nicht umgebaut),4-Zimmer,1110000,10731,4,
2013,Total,4-Zimmer,1237500,10047,4,
2013,Neubauten (0–1 Jahre),5-Zimmer,1839000,12081,5,
2013,2–9 Jahre,5-Zimmer,1350000,9184,5,
2013,10–19 Jahre,5-Zimmer,1360000,8500,5,
2013,Altbauten (umgebaut),5-Zimmer,1840000,12558,5,
2013,Altbauten (nicht umgebaut),5-Zimmer,1450000,10704,5,
2013,Total,5-Zimmer,1600000,11422,5,
2013,Neubauten (0–1 Jahre),6-Zimmer und mehr,1939000,10832,6,
2013,2–9 Jahre,6-Zimmer und mehr,3000000,8902,6,
2013,10–19 Jahre,6-Zimmer und mehr,1805000,8848,6,
2013,Altbauten (umgebaut),6-Zimmer und mehr,2460000,13689,6,
2013,Altbauten (nicht umgebaut),6-Zimmer und mehr,2000000,12579,6,
2013,Total,6-Zimmer und mehr,2000000,12127,6,
2014,Neubauten (0–1 Jahre),1-Zimmer,665000,11477,1,
2014,10–19 Jahre,1-Zimmer,1227500,16088,1,
2014,Altbauten (umgebaut),1-Zimmer,890000,10536,1,
2014,Altbauten (nicht umgebaut),1-Zimmer,319090,9634,1,
2014,Total,1-Zimmer,665000,11026,1,
2014,Neubauten (0–1 Jahre),2-Zimmer,1005000,12102,2,
2014,2–9 Jahre,2-Zimmer,782120,10893,2,
